"bookName","author","series","summary","rating","price"
"上班族的ETF賺錢術：打敗死薪水 提前財務自由","陳重銘","創富","**　　「錢歹賺、囝細漢」****　　身為上班族****　　你總是入不敷出嗎？****　　擔心工作30、40年****　　不但無法存到千萬退休金****　　還淪為又窮、又老的下流老人？****　　別怕！****　　看不敗教主出招****　　教你學會用ETF賺股利和價差****　　打造源源不絕的被動收入****　　提前達到財務自由****　　▍不敗教主獨門投資心法**　　陳重銘在上一本暢銷書《我用1檔ETF存自己的18%》，披露元大高股息ETF的存股訣竅，讓投資新手充分了解，存ETF是累積財富的好方法。這次他要以自己的經驗，進一步教上班族如何打敗死薪水，跟他一樣提前達到財務自由。**　　▍馬上行動是投資成功的重點**　　投資股票，最重要的是「行動」這兩字，很多人想學我存300張金融股，但是又不停問要存哪一檔？幾塊錢才可以買進？現在大盤在高點要不要再等等？我只好告訴他，存股的重...","⭐⭐","NT$252 TWD"
"你可以生氣，但不要越「想」越氣：停止情緒化思考、不再與對錯拔河，從此擺脫「地雷型」人設！","水島廣子","Soulmate","你的「情緒｣沒有錯，都是「想法｣惹的禍！每一種情緒，都是真實的自己。坦然接受它，給予理解和撫慰，它才不會一直悶燒而引爆人際地雷！**　　《給不小心就會太在意的你》《你不必和每個人都合拍》水島廣子醫師　　教你活出不被情緒綁架的人生，守護內心的自由與平靜！**　　——我也不想那麼愛生氣，但就是管不住自己啊………　　——碰上陰晴不定情緒化的人，要如何避免被掃到颱風尾？　　情緒，是人類最自然的防衛反應。　　遇到不合理的對待，你當然可以生氣；面對未知，不安會讓你更謹慎小心。　　但可不要掉進「情緒化思考｣的陷阱，讓自己越「想｣越慌、越「想｣越氣！　　● 被同事說「你怎麼連這個也不知道？｣，情緒就上來了，很不喜歡自己這麼容易生氣……　　● 部屬沒做完我交代的工作就回家了，到底有沒有把我放在眼裡！　　● 老公襪子老是亂丟，提醒他還被說不要囉嗦小事，氣死我了！...","⭐⭐⭐⭐½","NT$196 TWD"
"上流教養： 當紐約豪門家教遇上第五大道的佛洛伊德","布萊絲‧葛羅斯伯格","現場Come","直擊金字塔頂端的家庭教育現場，撼動人心的社會觀察！歡迎來到紐約曼哈頓頂級富豪的教養世界，在這裡，學術是一種痴迷；財富無助於緩解地位焦慮；父母想盡一切辦法，只為讓孩子在激烈的競爭中出類拔萃——光鮮亮麗的表象之下，我們看見的卻是扭曲失能的另一面。　　　這本細膩的記事，讓常以誇張手法呈現的世界充滿了人性。──《出版人週刊》　　對為人父母者財富和權勢的近距離審視，發人深省。──《柯克斯書評》　　布萊絲沒想到自己有朝一日能靠著分析《大亨小傳》而成為曼哈頓的搶手家教！她原本可以樂在其中，但是當她深入豪門之家成為孩子們的家教之後，卻忍不住成為佛洛伊德的化身，也窺見了金字塔頂端家庭的另一面。　　在一次偶然的機會下，布萊絲幫助一位豪門富家千金的成績從B＋進步到A，從此成為上流社會的熱門教師，也為她打開了上流教養世界的大門。這些家庭的孩子多半居住在第五大道中央公園附近，生活方式極盡奢華。家有變故就住五星級酒店","⭐⭐⭐⭐½","NT$294 TWD"
"2小時讀懂明治維新：十九 世紀日本，翻轉國家命運的重生傳奇","呂理州","大河","早在150年前，日本年輕的下級武士已致力於向上改革以一個世代，打造一個全新的國家！　　比課本更輕鬆，比網路文章易懂，　　帶你2小時讀懂近代日本谷底翻身的始末。　　看它如何從亡國邊緣逆轉勝，全民投入西化改造，　　變身傲視全球的經濟強國　　1867年8月16日的《北華捷報》（North China Herald）登載了一篇比較中日兩國的文章，其中有這麼一段話：　　「這兩國的國民差異極大。一邊是進步主義的典範，一邊是保守主義的化身。中國人喜歡回顧過去，日本人喜歡展望未來。當面臨一項新的計畫時，中國人首先考慮的是如何反對該項計畫，日本人則以極為樂觀與善意的心態迎接任何新點子……。」　　這段話充分顯露出當時的西方記者已經察覺到中日兩國在面臨西方文明的衝擊後，所表現出來的截然不同的因應方式。一邊是斷然拋捨舊文明，迎向新文明；一邊是繼續窩在老祖宗的文化遺產中尋求慰藉。　　►►►解答3個「為什麼」","⭐⭐⭐⭐½","NT$199 TWD"
"《沈從文自傳》（附《邊城》）【120周年誕辰紀念經典版】","沈從文","聯合文叢","沈從文作品意涵淡遠，深邃雋永，融合成長經歷、不隨俗的人生觀與文學堅持，描繪鄉土，筆調直率，野趣橫生，粗礫中散發著美感，為中國現代文學開創出獨樹一格的鄉土抒情流派。《沈從文自傳》合《從文自傳》與《邊城》於一帙：《從文自傳》從童稚打架、逃學起筆，到入伍當小兵，復又棄軍從文，上北京求學，一心成為作家。說曰自傳，其實不過年方二十，流離的傳奇故事蘊藏無盡的熱情，從而激起面對生活的勇氣與信心；樸實文字的背後隱伏著傷懷悲痛，亦見證記錄了大時代的變遷。《邊城》描繪自然純樸的湘西風土人情，藉由天真的船家少女翠翠所經歷的愛情悲劇，田園牧歌般的邊城世界，表現出人性的真摯與苦澀。","⭐⭐⭐⭐⭐","NT$273 TWD"
"魚眼","薛西斯","謎團小說","這裡的人，彷彿都知道「鬼女」的存在，卻都不承認與「鬼女」的關係。★匿名信、密室、孤絕的懸崖★行李箱、遺產、寧靜的湖塘★推理要素已經齊備，警世劇場即將揭幕！超人氣小說家薛西斯年度鉅獻解開兩起案件、跨越三十年的糾葛……冬陽／復興電台「偵探推理俱樂部」主持人杜鵑窩人／資深推理迷余小芳／推理評論家洪宏嘉／前台灣推理作家協會理事長哲儀／小說家、編劇袁非／《手槍女王》作者路那／推理評論家瀟湘神／作家寵物先生／推理作家──齊聲推薦「鬼女」能看見死亡的訊號。自從被移植了死刑犯的眼角膜之後，「鬼女」就可以在快死的生物身上，看見類似訊號干擾的雜點。這是不幸的死亡之眼。苦於眼疾的落魄作家葉聲秋接下委託，循著「鬼女」的匿名信，開始探查三十年前的連續毒殺懸案，以尋找創作素材。...","⭐⭐⭐⭐","NT$350 TWD"
"人性的弱點：暢銷不墜的成功學經典，向卡內基學習交心溝通術與好感度人際學","戴爾．卡內基","N/A","股神巴菲特從二十歲起就奉為人生圭臬的案頭書！世界出版史上僅次於《聖經》的長銷經典，出版逾80年，暢銷超過1500萬冊！社交心理、人際溝通與成功學的必讀聖經！「想說服別人，要先激發對方的渴望，了解對方的需求。能做到這一點，就能左右逢源。」──戴爾．卡內基被譽為二十世紀最偉大心靈導師和成功學大師的卡內基，在1912年發揮自身的銷售與演講長才，創立了獨有的卡內基訓練課程，在美國各地大受歡迎。卡內基認為，能夠被人喜歡，而且也喜歡別人才叫「成功」。也就是說，成功的第一要素是要懂得如何建立好人際關係。人與人之間若要有效溝通，必須了解「人性的弱點」，了解人們都渴望受重視的天性，進而能真心讚美他人。本書囊括卡內基教學二十多年來的精華，詳細說明如何與人相處的哲學和技巧，並輔以諸多真實的故事與例子加以印證，包含三大人際關係技巧、六種受歡迎的方法、十二條獲得認同的法則，以及說...","⭐⭐⭐⭐½","NT$253 TWD"
"解讀市場預期：讓你從股價判讀中獲得超額報酬，霍華．馬克斯、《致富心態》作者摩根．豪瑟推薦必讀","麥可．莫布新","近未來","**　★《打破選股迷思的獲利心法》作者達摩德仁教授撰文解說　　★《投資最重要的事》作者霍華‧馬克斯、《致富心態》作者摩根‧豪瑟一致好評　　★成長型、價值型投資人都適用，同時掌握估值的技術與藝術　　★本書的「預期投資法」幫你鍛鍊出馬克斯強調的「第二層思考」****　　看完這本書，你可以學會——**　　1.評估股價中隱含的市場預期　　2.找到股價修正的原因與時機點，進而找到投資機會　　3.訂定買進、賣出或持有的決策標準　　想要了解市場預期如何影響一家公司未來的表現，　　「股價」是最清楚、最可靠的訊號！　　我們要找的，不是便宜的股票，　　而是價格合理、且市場對它有期待的股票，　　但如何做到——　　藉由估計公司價值來評估股價的傳統方法已不再適用，　　本書為投資人提供一套嚴謹的投資策略與財務分析方法：「預期投資法」，　　重新定義並解答：「公司的未來值多少價值？」<br ...","⭐⭐⭐⭐⭐","NT$286 TWD"
"來世：諾貝爾文學獎得主古納最新史詩級巨作，特別收錄諾貝爾文學獎獲獎致辭","阿卜杜勒拉扎克．古納","當代經典","**這一切是為了什麼？我們不過是在打一場毫無意義的戰爭。——二〇二一年諾貝爾文學獎得主最新力作，全新繁體中文譯本　2022歐巴馬年度最愛圖書之一，紐約客雜誌推薦必讀 　**　　★2021年奧威爾政治書寫獎決選　　★2021年沃爾特．史考特歷史小說獎初選　　★《紐約時報》《華盛頓郵報》《時代雜誌》《紐約客》《BOOKPAGE》《柯克斯評論》《新政治家》雜誌年度選書　　「每次聽你說話，我都會想起哥哥。我常想像著戰爭期間，他必定遭遇了什麼事。如果他還在某個地方，安然無恙，應該也會像你和我說話這樣，在和別人說話。」　　來自坦尚尼亞的古納，於一九六〇年代移居英國求學，著有多部小說，作品圍繞難民與流亡，聚焦身分認同、種族衝突及歷史書寫等，在二〇二一年榮獲諾貝爾文學獎。書評家普遍認為，古納的作品在在呈現了殖民主義對世界的影響、戰爭所留下的創傷及難民流亡等經歷。　　《來世》的故事以戰時的東非為背景","N/A","NT$345 TWD"
"厭女：日本的女性嫌惡（全新增訂版）","上野千鶴子","人文","女性主義經典力作，全新增訂四萬字！〈各位！勿令晚節不保〉、〈難搞女子的厭女情結〉作者上野千鶴子再次辛辣解剖#metoo、AV、仇女、魯蛇、敗犬、援交、恐同、家暴、戀童癖……你可能從來不知道，自己患了「厭女症」性騷擾是有什麼問題？出現#MeToo、#WithYou、#NotSurprized網路標籤後反而問題大增？誰是難搞女子？為何女子被弄得很難搞？身為女性卻成為AV作家？為什麼年薪一千萬日幣的知名企業OL，夜夜用兩千日幣賤賣自己？秋葉原無差別砍人男大開殺戒的原因，竟是交不到女友？為什麼男人最怕淪為處男，又對同志有莫名的厭惡感？為什麼男人既愛批評女人愚蠢、小心眼，卻又離不開女色？高中女校內部有著怎樣的集團法則？所謂的「母女情結」和「女兒是爸爸前世的情人」間竟然隱藏著嫉妒與復仇？◆厭女症，來自英語Misogyny，指憎惡、仇視女性，對女性化、女性傾向與特質抱持蔑視與厭惡的行為或心理。日本女..","⭐⭐⭐⭐⭐","NT$273 TWD"
